lucode,LULC_name,C_above,C_below,C_soil,C_dead
1,Cacao,5,0,0,0
2,Coffee,5,0,0,0
3,Sugarcane,5,0,0,0
4,Banana,5,0,0,0
5,Pineapple,5,0,0,0
6,OilPalmPlantation,5,0,0,0
7,ArableLand,5,0,0,0
8,Mangrove,164,0,0,0
9,PalmSwamp,146,0,0,0
10,Forest,146,0,0,0
11,Grassland,4.5,0,0,0
12,Shrubland,51,0,0,0
13,MoorAndHeathland,51,0,0,0
14,ForestPlantation,72,0,0,0
15,BareArea,1,0,0,0
16,Pastureland,4.5,0,0,0
17,Pastureland,4.5,0,0,0
18,Pastureland,4.5,0,0,0
19,ComplexCultivationPatternedLand,72,0,0,0
20,ArtificialSurface,0,0,0,0
21,Wetland,108,0,0,0
22,WaterBody,0,0,0,0
23,ArtificialSurface,0,0,0,0
24,NoData,0,0,0,0
25,InactiveAgriculturalLand,5,0,0,0
26,GlacierAndPerpetualSnow,0,0,0,0
