lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,,, 
1,Cacao,57.84,17.59,0.25,0.74,150,150,0,,,,,,,,
2,Coffee,57.84,17.59,0.25,0.74,150,150,0,,,,,,,,
3,Sugarcane,57.84,17.59,0.25,0.74,150,150,0,,,,,,,,
4,Banana,57.84,17.59,0.25,0.74,150,150,0,,,,,,,,
5,Pineapple,57.84,17.59,0.25,0.74,150,150,0,,,,,,,,
6,OilPalmPlantation,57.84,17.59,0.25,0.74,150,150,0,,,,,,,,
7,ArableLand,57.84,17.59,0.25,0.74,150,150,0,,,,,,,,
8,Mangrove,5,1.9,0.8,0.4,150,150,0,,,,,,,,
9,PalmSwamp,5,1.9,0.8,0.4,150,150,0,,,,,,,,
10,Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
11,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,,
12,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,,
13,MoorAndHeathland,6,0.1,0.6,0.5,150,150,0,,,,,,,,
14,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
15,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
16,Pastureland,15.5,0.4,0.4,0.5,150,150,0,,,,,,,,
17,Pastureland,15.5,0.4,0.4,0.5,150,150,0,,,,,,,,
18,Pastureland,15.5,0.4,0.4,0.5,150,150,0,,,,,,,,
19,ComplexCultivationPatternedLand,38.6,11.7,0.25,0.87,150,150,0,,,,,,,,
20,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,,
21,Wetland,5,1.9,0.8,0.4,150,150,0,,,,,,,,
22,WaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,,
23,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,,
24,NoData,0,0,0,0,0,0,0,,,,,,,,
25,InactiveAgriculturalLand,6,0.6,0.3,0.05,150,150,0,,,,,,,,
26,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,,,,,,,
